Release 8.1i - Fit P.58f
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 5- 5-2015 12:37PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  TopLevel.ngd
output file: TopLevel_pad.csv
Part type:   xc9572xl
Speed grade: -5
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,SegmentSelect<3>,O,I/O,OUTPUT,,,,,,,,,
P2,SegmentSelect<4>,O,I/O,OUTPUT,,,,,,,,,
P3,SegmentSelect<5>,O,I/O,OUTPUT,,,,,,,,,
P4,SegmentSelect<6>,O,I/O,OUTPUT,,,,,,,,,
P5,Clock,GCK,I/O/GCK1,,,,,,,,,,
P6,TIE,,I/O/GCK2,,,,,,,,,,
P7,TIE,,I/O/GCK3,,,,,,,,,,
P8,TIE,,I/O,,,,,,,,,,
P9,TIE,,I/O,,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,Active,I,I/O,INPUT,,,,,,,,,
P12,Testmode,I,I/O,INPUT,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,Overflow,O,I/O,OUTPUT,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,Reset,I,I/O,INPUT,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,TIE,,I/O,,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,TIE,,I/O,,,,,,,,,,
P28,TIE,,I/O,,,,,,,,,,
P29,TIE,,I/O,,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,TIE,,I/O,,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,AnodeSelect<0>,O,I/O,OUTPUT,,,,,,,,,
P38,AnodeSelect<1>,O,I/O,OUTPUT,,,,,,,,,
P39,TIE,,I/O/GSR,,,,,,,,,,
P40,TIE,,I/O/GTS2,,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,SegmentSelect<0>,O,I/O/GTS1,OUTPUT,,,,,,,,,
P43,SegmentSelect<1>,O,I/O,OUTPUT,,,,,,,,,
P44,SegmentSelect<2>,O,I/O,OUTPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


